Word,Frequency,Documents,Example sentences
us,87,"doc6.txt
doc5.txt
doc4.txt
doc1.txt
doc3.txt
doc2.txt","We entered through no fences or discernible security, and once we did, we found ourselves in a building with open first-floor windows and padlocks that many of us would not use to secure our own luggage.
Our guide then brought us right up to what looked like a mini-refrigerator."
people,67,"doc6.txt
doc5.txt
doc4.txt
doc1.txt
doc3.txt
doc2.txt","Now, few people understand these challenges better than the co-founder of the Cooperative Threat Reduction Program, Dick Lugar, and this is something that became particularly clear to me during one incident on the trip.
Outstanding career officials who run the Nunn-Lugar program -- people like Col. Jim Reid and Andy Weber who are here this morning -- will be there every step of the way to ensure that U.S. interests are protected."
iraq,63,"doc5.txt
doc1.txt
doc3.txt
doc2.txt","A few Tuesdays ago, the American people embraced this seriousness with regards to America’s policy in Iraq.
Iraq is descending into chaos based on ethnic divisions that were around long before American troops arrived."
country,60,"doc5.txt
doc4.txt
doc1.txt
doc3.txt
doc2.txt","That policy-by-slogan will no longer pass as an acceptable form of debate in this country.
These are serious times for our country, and with their votes two weeks ago, Americans demanded a feasible strategy with defined goals in Iraq ?"
time,59,"doc6.txt
doc5.txt
doc4.txt
doc1.txt
doc3.txt
doc2.txt","But this is one story that shows our job is far from finished at a time when demand for these weapons has never been greater.
Today, experts tell us that we're in a race against time to prevent this scenario from unfolding."
one,57,"doc6.txt
doc5.txt
doc4.txt
doc1.txt
doc3.txt
doc2.txt","Now, few people understand these challenges better than the co-founder of the Cooperative Threat Reduction Program, Dick Lugar, and this is something that became particularly clear to me during one incident on the trip.
But this is one story that shows our job is far from finished at a time when demand for these weapons has never been greater."
america,54,"doc5.txt
doc4.txt
doc1.txt
doc3.txt
doc2.txt","A few Tuesdays ago, the American people embraced this seriousness with regards to America’s policy in Iraq.
And a report by our own intelligence agencies has concluded that al Qaeda is successfully using the war in Iraq to recruit a new generation of terrorists for its war on America."
know,52,"doc6.txt
doc5.txt
doc4.txt
doc1.txt
doc3.txt
doc2.txt","As some of you know, Senator Lugar and I recently traveled to Russia, Ukraine, and Azerbaijan to witness firsthand both the progress we're making in securing the world's most dangerous weapons, as well as the serious challenges that lie ahead.
We know these countries want us to fail, and we should remain steadfast in our opposition to their support of terrorism and Iran’s nuclear ambitions."
let,49,"doc6.txt
doc5.txt
doc1.txt
doc3.txt
doc2.txt","My third recommendation - which I'll just touch briefly on and let Senator Lugar talk about in more detail - is that we need to start thinking creatively about some of the next-generation efforts on nuclear, biological, and chemical weapons.
""Let us not be blind to our differences--but let us also direct attention to our common interests and to the means by which those differences can be resolved...For in the final analysis, our most basic common link is that we all inhabit this small planet."
american,48,"doc6.txt
doc5.txt
doc4.txt
doc1.txt
doc3.txt
doc2.txt","But, when I think about what is at stake I am reminded by a quote from the late President Kennedy given in a speech at American University in 1963 about threats posed by the Soviet Union.
Throughout American history, there have been moments that call on us to meet the challenges of an uncertain world, and pay whatever price is required to secure our freedom."
government,46,"doc6.txt
doc5.txt
doc4.txt
doc1.txt
doc3.txt
doc2.txt","And the Kiev story is heading in the right direction - while we were in Ukraine, Dick, through his tireless and personal intervention, was able to achieve a breakthrough with that government, bringing that facility and others under the Cooperative Threat Reduction program.
While the government of Ukraine is making progress here, the limited funding they have means that at the current pace, it will take sixty years to dismantle these weapons."
work,45,"doc6.txt
doc5.txt
doc4.txt
doc1.txt
doc3.txt
doc2.txt","Additional steps should also be taken to consolidate and secure dangerous pathogen collections, strengthen bio-reconnaissance networks to provide early warning of bio-attack and natural disease outbreaks, and have our experts work together to develop improved medical countermeasures.
For any of these efforts that I've mentioned to work as we move forward, we must also think critically and strategically about Washington's relationship with Moscow."
war,43,"doc6.txt
doc5.txt
doc4.txt
doc1.txt
doc3.txt
doc2.txt","Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War.
Throughout the Cold War, the Soviet Union was engaged in a massive undertaking in the field of germ warfare."
many,35,"doc6.txt
doc5.txt
doc4.txt
doc1.txt
doc3.txt
doc2.txt","We entered through no fences or discernible security, and once we did, we found ourselves in a building with open first-floor windows and padlocks that many of us would not use to secure our own luggage.
Many of these aging research facilities have the largest, least secure quantities of highly enriched uranium in the world - the quickest way to a nuclear weapon."
must,35,"doc6.txt
doc5.txt
doc4.txt
doc1.txt
doc3.txt
doc2.txt","With the situation in Russia and the rest of the former Soviet Union so drastically different than it was in 1991, or even in 1996 or 2001, what must we do to effectively confront this threat in the days and years to come?
Everyone has a role to play, and everyone must accelerate this involvement."
need,34,"doc6.txt
doc5.txt
doc1.txt
doc3.txt
doc2.txt","And that is why the nuclear, chemical, and biological weapons within the borders of the former Soviet Union represent the greatest threat to the security of the United States - a threat we need to think seriously and intelligently about in the months to come.
And so the question we need to be asking ourselves today is, what is the future of this program?"
also,34,"doc6.txt
doc5.txt
doc4.txt
doc1.txt
doc3.txt
doc2.txt","Besides the devastation they can cause to a civilian population, biological agents can also be effective in asymmetrical warfare against U.S. troops.
Additional steps should also be taken to consolidate and secure dangerous pathogen collections, strengthen bio-reconnaissance networks to provide early warning of bio-attack and natural disease outbreaks, and have our experts work together to develop improved medical countermeasures."
promise,34,"doc4.txt
doc2.txt","One statistic powerfully describes this unfulfilled promise.
Some of the worst actors on the international stage can also take advantage of the collective exhaustion and outrage that people feel with official corruption, as we've seen with Islamic extremists who promise purification, but deliver totalitarianism."
would,33,"doc6.txt
doc5.txt
doc4.txt
doc3.txt
doc2.txt","We entered through no fences or discernible security, and once we did, we found ourselves in a building with open first-floor windows and padlocks that many of us would not use to secure our own luggage.
And as we speak, members of Al Qaeda and other terrorists organizations are aggressively pursuing weapons of mass destruction, which they would use without hesitation."
new,33,"doc5.txt
doc4.txt
doc1.txt
doc3.txt
doc2.txt","And a report by our own intelligence agencies has concluded that al Qaeda is successfully using the war in Iraq to recruit a new generation of terrorists for its war on America.
and I’m quoting from a New York Times article here ?"
